game_id,inning,team,true_outcome,anything_else,true_outcome_result,var,value
ANA201704130,7,1,0.0,3,-3.0,hometeam,ANA
ANA201704130,8,1,0.0,3,-3.0,hometeam,ANA
ANA201704130,9,1,6.0,3,3.0,hometeam,ANA
ANA201704210,1,0,2.0,2,0.0,visteam,TOR
ANA201704210,2,0,2.0,3,-1.0,visteam,TOR
ANA201704210,3,0,6.0,3,3.0,visteam,TOR
ANA201704210,4,0,6.0,3,3.0,visteam,TOR
ANA201704210,5,0,2.0,2,0.0,visteam,TOR
ANA201704210,6,0,2.0,5,-3.0,visteam,TOR
ANA201704210,7,0,6.0,0,6.0,visteam,TOR
ANA201704210,8,0,8.0,3,5.0,visteam,TOR
ANA201704210,9,0,2.0,3,-1.0,visteam,TOR
ANA201704210,10,0,2.0,4,-2.0,visteam,TOR
ANA201704210,11,0,6.0,1,5.0,visteam,TOR
ANA201704210,12,0,2.0,3,-1.0,visteam,TOR
ANA201704210,13,0,6.0,5,1.0,visteam,TOR
ANA201704210,1,1,2.0,2,0.0,hometeam,ANA
ANA201704210,2,1,2.0,4,-2.0,hometeam,ANA
ANA201704210,3,1,6.0,5,1.0,hometeam,ANA
ANA201704210,4,1,2.0,4,-2.0,hometeam,ANA
ANA201704210,5,1,2.0,4,-2.0,hometeam,ANA
ANA201704210,6,1,4.0,1,3.0,hometeam,ANA
ANA201704210,7,1,2.0,3,-1.0,hometeam,ANA
ANA201704210,8,1,4.0,3,1.0,hometeam,ANA
ANA201704210,9,1,0.0,4,-4.0,hometeam,ANA
ANA201704210,10,1,2.0,3,-1.0,hometeam,ANA
ANA201704210,11,1,4.0,1,3.0,hometeam,ANA
ANA201704210,12,1,2.0,2,0.0,hometeam,ANA
ANA201704210,13,1,8.0,5,3.0,hometeam,ANA
ANA201704220,1,0,6.0,3,3.0,visteam,TOR
ANA201704220,2,0,2.0,2,0.0,visteam,TOR
ANA201704220,3,0,2.0,2,0.0,visteam,TOR
ANA201704220,4,0,2.0,3,-1.0,visteam,TOR
ANA201704220,5,0,0.0,3,-3.0,visteam,TOR
