1,10,2,3,4,5,6,7,8,9,game_id,home_away
gibsk002,grosr001,gimec001,mauej001,dozib001,sanom001,polaj001,rosae001,buxtb001,keplm001,ANA201706020,away
shoem001,pujoa001,maldm001,valbl001,pennc001,escoy001,simma001,reveb001,youne003,calhk001,ANA201706030,home
sante001,grosr001,gimec001,mauej001,dozib001,sanom001,polaj001,rosae001,buxtb001,keplm001,ANA201706030,away
nolar001,valbl001,gratj001,cronc002,pennc001,escoy001,simma001,reveb001,youne003,calhk001,ANA201706040,home
berrj001,mauej001,castj006,sanom001,dozib001,escoe001,adrie001,grosr001,rosae001,keplm001,ANA201706040,away
meyea001,pujoa001,maldm001,valbl001,espid001,escoy001,simma001,youne003,maybc001,calhk001,ANA201706120,home
tanam001,hollm001,romia002,cartc002,casts001,headc001,gregd001,gardb001,hicka001,judga001,ANA201706120,away
ramij002,pujoa001,maldm001,cronc002,espid001,escoy001,simma001,youne003,maybc001,calhk001,ANA201706130,home
sabac001,hollm001,sancg002,cartc002,casts001,headc001,gregd001,gardb001,hicka001,judga001,ANA201706130,away
shoem001,pujoa001,gratj001,valbl001,espid001,escoy001,simma001,youne003,maybc001,calhk001,ANA201706140,home
pinem001,judga001,sancg002,hollm001,casts001,headc001,gregd001,gardb001,hicka001,refsr001,ANA201706140,away
nolar001,pujoa001,maldm001,cronc002,espid001,escoy001,simma001,youne003,maybc001,calhk001,ANA201706150,home
stram001,mossb001,peres002,hosme001,merrw001,mousm001,escoa003,gorda001,cainl001,bonij002,ANA201706150,away
chavj001,pujoa001,maldm001,valbl001,pennc001,escoy001,simma001,reveb001,maybc001,calhk001,ANA201706160,home
kenni001,mossb001,peres002,hosme001,merrw001,mousm001,escoa003,gorda001,cainl001,bonij002,ANA201706160,away
meyea001,pujoa001,maldm001,valbl001,espid001,escoy001,simma001,youne003,maybc001,calhk001,ANA201706170,home
junij001,cuthc001,buted001,hosme001,merrw001,mousm001,escoa003,gorda001,cainl001,bonij002,ANA201706170,away
ramij002,pujoa001,gratj001,cronc002,espid001,escoy001,simma001,reveb001,maybc001,calhk001,ANA201706180,home
vargj001,mossb001,peres002,hosme001,torrr002,mousm001,escoa003,gorda001,cainl001,bonij002,ANA201706180,away
meyea001,pujoa001,maldm001,martj007,espid001,escoy001,simma001,reveb001,maybc001,calhk001,ANA201706280,home
ryu-h001,bellc002,grany001,utlec001,forsl001,turnj001,taylc001,thomt002,pedej001,puigy001,ANA201706280,away
ramij002,pujoa001,maldm001,martj007,espid001,escoy001,pennc001,youne003,maybc001,calhk001,ANA201706290,home
kersc001,turnj001,grany001,bellc002,utlec001,forsl001,seagc001,thomt002,pedej001,puigy001,ANA201706290,away
bridp001,pujoa001,gratj001,martj007,espid001,escoy001,simma001,youne003,maybc001,calhk001,ANA201706300,home
miraa002,cruzn002,zunim001,valed001,canor001,seagk001,seguj002,gameb001,dysoj001,hanim001,ANA201706300,away
nolar001,pujoa001,maldm001,valbl001,frann001,escoy001,simma001,reveb001,maybc001,calhk001,ANA201707010,home
gavis001,cruzn002,ruizc001,valed001,canor001,seagk001,seguj002,gameb001,dysoj001,hanim001,ANA201707010,away
chavj001,pujoa001,maldm001,valbl001,espid001,escoy001,simma001,reveb001,maybc001,calhk001,ANA201707020,home
paxtj001,poweb002,zunim001,valed001,canor001,seagk001,seguj002,gameb001,hereg002,hanim001,ANA201707020,away
nolar001,pujoa001,maldm001,valbl001,frann001,escoy001,simma001,maybc001,troum001,calhk001,ANA201707140,home
farij001,dickc002,ramow001,morrl001,millb002,longe001,hecha001,petes002,smitm007,souzs001,ANA201707140,away
ramij002,pujoa001,maldm001,valbl001,pennc001,escoy001,simma001,maybc001,troum001,calhk001,ANA201707150,home
cobba001,dickc002,sucrj001,morrl001,millb002,longe001,hecha001,petes002,smitm007,souzs001,ANA201707150,away
bridp001,pujoa001,maldm001,valbl001,frann001,escoy001,simma001,maybc001,troum001,calhk001,ANA201707160,home
archc001,millb002,sucrj001,morrl001,beckt001,longe001,hecha001,dickc002,smitm007,souzs001,ANA201707160,away
chavj001,pujoa001,maldm001,valbl001,frann001,escoy001,simma001,maybc001,troum001,calhk001,ANA201707180,home
jacke001,linda001,wietm001,zimmr001,murpd006,renda001,difow001,heisc001,goodb001,harpb003,ANA201707180,away
meyea001,pujoa001,maldm001,cronc002,pennc001,escoy001,simma001,reveb001,troum001,robis001,ANA201707190,home
gonzg003,linda001,wietm001,zimmr001,murpd006,renda001,drews001,rabur001,goodb001,heisc001,ANA201707190,away
nolar001,pujoa001,maldm001,cronc002,pennc001,escoy001,simma001,robis001,troum001,calhk001,ANA201707210,home
salec001,ramih003,leons001,morem001,pedrd001,holtb002,bogax001,benia002,bradj001,bettm001,ANA201707210,away
ramij002,pujoa001,maldm001,cronc002,pennc001,escoy001,simma001,reveb001,troum001,calhk001,ANA201707220,home
pricd001,morem001,vazqc001,ramih003,pedrd001,holtb002,bogax001,benia002,bradj001,bettm001,ANA201707220,away
bridp001,escoy001,maldm001,cronc002,frann001,valbl001,simma001,reveb001,troum001,calhk001,ANA201707230,home
porcr001,ramih003,leons001,morem001,holtb002,marrd001,bogax001,benia002,bradj001,bettm001,ANA201707230,away
nolar001,pujoa001,maldm001,valbl001,cowak001,escoy001,simma001,reveb001,troum001,florr003,ANA201708010,home
nolaa001,kim-h001,knapa001,joset001,hernc005,franm004,galvf001,willn001,herro001,altha001,ANA201708010,away
ramij002,pujoa001,maldm001,cronc002,cowak001,valbl001,simma001,reveb001,troum001,florr003,ANA201708020,home
thomj007,knapa001,ruppc001,joset001,hernc005,franm004,galvf001,kim-h001,herro001,navad002,ANA201708020,away
bridp001,pujoa001,maldm001,cronc002,cowak001,valbl001,simma001,reveb001,troum001,florr003,ANA201708030,home
eickj001,willn001,knapa001,joset001,hernc005,franm004,galvf001,kim-h001,herro001,altha001,ANA201708030,away
scrit001,pujoa001,maldm001,cronc002,pennc001,escoy001,simma001,reveb001,troum001,calhk001,ANA201708040,home
cottj001,healr001,maxwb001,alony001,lowrj001,chapm001,semim001,davik003,brugj001,joycm001,ANA201708040,away
skagt001,pujoa001,maldm001,valbl001,cowak001,escoy001,simma001,reveb001,troum001,calhk001,ANA201708050,home
blacp001,davik003,garnd001,healr001,lowrj001,chapm001,semim001,canhm001,davir003,pindc001,ANA201708050,away
nolar001,pujoa001,gratj001,cronc002,pennc001,escoy001,simma001,robis001,troum001,calhk001,ANA201708060,home
manas001,davik003,maxwb001,healr001,lowrj001,chapm001,semim001,canhm001,brugj001,pindc001,ANA201708060,away
ramij002,pujoa001,maldm001,cronc002,cowak001,valbl001,simma001,maybc001,troum001,calhk001,ANA201708070,home
bundd001,manct001,castw002,davic003,schoj001,machm001,beckt001,smits002,jonea003,rickj001,ANA201708070,away
bridp001,pujoa001,maldm001,cronc002,pennc001,valbl001,simma001,maybc001,troum001,calhk001,ANA201708080,home
hellj001,manct001,josec002,davic003,schoj001,machm001,beckt001,smits002,jonea003,rickj001,ANA201708080,away
scrit001,troum001,gratj001,cronc002,cowak001,valbl001,simma001,puelc001,reveb001,calhk001,ANA201708090,home
gausk001,trumm001,castw002,davic003,schoj001,machm001,beckt001,manct001,jonea003,rickj001,ANA201708090,away
skagt001,pujoa001,maldm001,cronc002,cowak001,martj007,simma001,maybc001,troum001,calhk001,ANA201708210,home
hamec001,choos001,chirr001,napom001,odorr001,belta001,andre001,rua-r001,deshd002,mazan001,ANA201708210,away
